start	end	text
0	7840	You know that moment of amazed surprise when you encounter something so unexpected?
8340	9820	It feels almost magical.
9820	11980	An idea that kind of blows your mind.
12720	16660	At that precise moment, I fell in love with physics.
17220	19280	General activity is incredibly spectacular.
19620	22320	There's this curving of space, stretching on time.
22900	23980	It's better than LST.
24340	26420	Haven't you had these moments in your mind?
26420	31040	And maybe it's that little space between drifting off to sleep or waking up.
31080	32020	Or maybe you're stoned.
32140	33420	You feel things like that.
33580	35880	These paradoxes of truth.
36160	38020	Welcome to Wonder Cabinet.
38660	39760	I'm Anne Strange-Hamps.
39940	40920	And I'm Steve Paulson.
41200	45760	We're the creators of the Peabody Award-winning public radio show, to the best of our knowledge.
45960	49100	And we are so excited to be launching something new.
49480	53460	An interview podcast designed to keep your sense of wonder alive.
53460	58700	So you traveled with some people who live very close to the natural world.
58780	59620	And they see things.
59700	62520	They notice things that I would never notice.
62700	65300	And I mean, I was particularly struck by a mycologist.
65580	65820	Yes.
65920	71620	Who talks about not just seeing mushrooms, but hearing, feeling when they're nearby.
71800	75680	And I'm just trying to think about what that's like.
75740	77540	I mean, what was it like to travel with her?
77800	79220	It was wild, Steve.
79300	80280	It was truly wild.
80280	83460	She was looking for tiny brown psilocybe species.
83660	85560	The two times she found them, she found both of them.
85640	88120	She would say, oh, they're near now.
88220	88900	I can hear them.
89500	91000	She calls it a fuzz in the matrix.
91180	92900	I don't know what that means to experience.
93600	94820	But boy, was she right.
94900	96000	We would go around two corners.
96180	99480	She would suddenly fall to the ground as though she'd been shot.
99920	100380	Woo-hoo!
100780	105220	And there was this tiny brown mushroom in this fast brown forest floor.
105220	110040	We've spent more than 30 years talking with some of the world's greatest scientists and
110040	111060	poets and philosophers.
111580	114400	This time, in this new podcast, we're going deeper.
115060	121140	Longer, more intimate conversations about mystery and beauty and the deep intelligence
121140	122080	of the earth.
122080	126080	So you have caterpillars eating leaves, getting fat, getting ready.
126600	131780	Then they create a cocoon and they basically begin to melt and their brain liquefied.
131900	133280	That's the craziest thing.
133700	139380	The butterflies have the same memories as they did when they were caterpillars, even though
139380	140620	their brains have been liquefied.
140820	142660	How is that possible?
143020	143300	Right?
143640	145740	For me, that's where my wonder is.
146100	150420	Join us as we build a new cabinet of wonders for the modern age.
150420	155500	The first episodes drop January 31st, wherever you get your podcasts.
