start	end	text
0	9320	I'm Steve Paulson, and we are back with theoretical physicist Carlo Rivelli, who has been thinking
9320	13620	about why he was consumed by questions about ultimate reality when he was young.
15760	19760	Yes, I had a difficult adolescence.
20400	22880	I disliked the adults around me.
23340	25740	I couldn't understand why they were doing what they were doing.
25740	33020	Everybody had great, beautiful ideals to talk about, and they seemed to me all to be fake
33020	34860	and incredibly hypocritical.
35420	38840	So I was very confused about the world, about everything.
38960	40760	And this confusion grew, in a sense.
41060	46800	And the desire of putting order and understanding was very strong.
47100	53120	And I remember that I had this strong sense, there should be a truth somewhere.
53280	54440	I want to go for the truth.
54440	56140	This has been a...
56140	61860	If I read back, I have been writing all my life a lot, just for myself, notebook and notebook.
62520	68880	And this idea, I want to try to go for the truth, it's all over my writing.
70320	72040	I don't want to fake it.
72360	73780	I don't want to become hypocritical.
73920	74880	And I want to search.
75500	77120	That was also the spirit of the time.
77180	77960	We were all searching.
78660	79400	This is all in search.
79400	83460	But I'm sure you're searching now, but it sounds like it's a very different way now.
83460	84660	So I'm trying to figure out...
84660	85160	It is a big...
85160	86520	What was the nature of that search?
86520	87140	I'm getting there.
87200	87940	I'm getting there.
88440	89340	I'm still searching, right?
89440	90440	I'm paid for search.
90520	93740	I was so lucky that then I got a job to search.
95080	97280	But I'm not searching for the ultimate reality.
97640	99540	I'm searching for understanding something more.
100080	106500	And I think the idea of the ultimate reality in science, like in philosophy, it's a bad idea.
106500	111120	Nowadays, I'm more and more interested in philosophy.
111380	113000	I go to philosophy conferences.
113240	115460	This is very philosophical, this meeting.
116140	118260	I'm invited by philosophy department.
118440	119540	I write in philosophy journals.
119740	121140	And I read a huge amount of philosophy.
121820	130280	And the idea of getting to the bottom, understanding the ultimate nature of reality, what is nature, what is fundamental?
130280	137620	It's matter, spirit, it's God, it's perception, it's consciousness, it's language.
138420	139900	None of this is fundamental.
140880	144100	It's like when we're talking about music before, right?
144100	144740	I'm not a musician.
144920	146900	Suppose I was a musician.
147260	149240	I want to write better and better music.
149620	151360	Do I want to write the ultimate music?
151520	153020	No, there's no ultimate music.
153240	154500	But there is better music.
154500	157040	And I think there is better knowledge.
158020	160140	Einstein is better than Newton.
160540	161380	Newton is very good.
161480	163580	It's super, super good and still used a lot.
163740	164380	Einstein is better.
164800	166680	It's a deeper look into reality.
167180	171580	And if all goes right, quantum gravity is a little step ahead.
173920	177100	Can't we be happy with lack of knowledge?
177960	181760	Was that something that came, this appreciation of not knowing?
181980	182180	Yeah.
182680	184100	Did that come with age?
184100	187660	With age, maybe it's just, you know, you get relaxed with age.
188980	194520	I'm asking this out of genuine curiosity because I'll tell you a little bit about my own personal history.
194660	203280	So when I was 17, 18, 19, I was obsessed with the existential writers, you know, those kind of depressing European writers.
203540	207240	Camus, Dostoevsky, Kafka, you know, all those guys.
208000	211820	Like The Myth of Sisyphus by Camus is sort of this foundational book for me.
211820	215380	And that quest for meaning was like hugely important.
215660	216740	I agonized over that.
217520	218920	And I don't anymore.
219120	220720	And I've puzzled over that.
220860	223220	I mean, you know, maybe I'm, maybe I'm wiser now.
223380	224760	That's a lot of lived experience.
224920	227660	Since then, you know, I can sort of rationalize this.
227660	232680	Or maybe I'm just a little jaded and life isn't as raw as it once was.
